REFINI_ID,Standard_Form_ID,Deposit_ID,Location_Specific,Fabric,Provenance_1,Provenance_2,Standard_Form_ID,Standard_Form,Production,Lower_Date_Form,Upper_Date_Form,Period,Deposit_ID,Deposit,Lower_Date_Deposit,Upper_Date_Deposit,Archaeological_Context
1,1,1,Altinum,,Central_Italy,Not_Available,1,Consp1.1,Terra_Sigillata,-40,-10,Imperial,1,Unknown,Unknown,Unknown,Unknown
2,358,1,Altinum,,Central_Italy,Not_Available,358,"Consp2/3
",Terra_Sigillata,-40,125,Imperial,1,Unknown,Unknown,Unknown,Unknown
3,358,1,Altinum,,Central_Italy,Not_Available,358,"Consp2/3
",Terra_Sigillata,-40,125,Imperial,1,Unknown,Unknown,Unknown,Unknown
4,5,1,Altinum,,Central_Italy,Not_Available,5,Consp3.1,Terra_Sigillata,50,100,Imperial,1,Unknown,Unknown,Unknown,Unknown
5,7,1,Altinum,,Central_Italy,Not_Available,7,Consp3.2,Terra_Sigillata,50,100,Imperial,1,Unknown,Unknown,Unknown,Unknown
6,7,1,Altinum,,Central_Italy,Not_Available,7,Consp3.2,Terra_Sigillata,50,100,Imperial,1,Unknown,Unknown,Unknown,Unknown
7,42,1,Altinum,,Central_Italy,Not_Available,42,Consp12.3,Terra_Sigillata,-10,14,Imperial,1,Unknown,Unknown,Unknown,Unknown
8,64,1,Altinum,,Central_Italy,Not_Available,64,Consp18,Terra_Sigillata,-10,37,Imperial,1,Unknown,Unknown,Unknown,Unknown
9,76,1,Altinum,,Central_Italy,Not_Available,76,Consp20,Terra_Sigillata,-27,96,Imperial,1,Unknown,Unknown,Unknown,Unknown
10,26,1,Altinum,,Central_Italy,Not_Available,26,Consp7,Terra_Sigillata,-10,14,Imperial,1,Unknown,Unknown,Unknown,Unknown
11,26,1,Altinum,,Central_Italy,Not_Available,26,Consp7,Terra_Sigillata,-10,14,Imperial,1,Unknown,Unknown,Unknown,Unknown
12,53,1,Altinum,,Central_Italy,Not_Available,53,Consp14,Terra_Sigillata,-10,14,Imperial,1,Unknown,Unknown,Unknown,Unknown
13,98,1,Altinum,,Central_Italy,Not_Available,98,Consp22,Terra_Sigillata,-20,37,Imperial,1,Unknown,Unknown,Unknown,Unknown
14,359,1,Altinum,,Central_Italy,Not_Available,359,"ConspR3-13
",Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
15,360,1,Altinum,,Central_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
16,360,1,Altinum,,Central_Italy,Arezzo,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
17,360,1,Altinum,,Central_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
18,360,1,Altinum,,Central_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
19,360,1,Altinum,,Central_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
20,360,1,Altinum,,Central_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
21,360,1,Altinum,,Central_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
22,360,1,Altinum,,Central_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
23,360,1,Altinum,,Central_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
24,360,1,Altinum,,Central_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
