DESTINI_ID,Stone_ID,Deposit_ID,Location_Specific,Stone_ID,Stone_Type,Provenance_1,Colour,Deposit_ID,Deposit,Lower_Date,Upper_Date,Archaeological_Context
1,5,1,Aquileia,5,Pentelic,Greece_And_Aegean,White,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
2,5,1,Aquileia,5,Pentelic,Greece_And_Aegean,White,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
3,5,1,Aquileia,5,Pentelic,Greece_And_Aegean,White,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
4,5,1,Aquileia,5,Pentelic,Greece_And_Aegean,White,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
5,5,1,Aquileia,5,Pentelic,Greece_And_Aegean,White,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
6,5,1,Aquileia,5,Pentelic,Greece_And_Aegean,White,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
7,5,1,Aquileia,5,Pentelic,Greece_And_Aegean,White,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
8,5,1,Aquileia,5,Pentelic,Greece_And_Aegean,White,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
9,5,1,Aquileia,5,Pentelic,Greece_And_Aegean,White,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
10,5,1,Aquileia,5,Pentelic,Greece_And_Aegean,White,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
11,5,1,Aquileia,5,Pentelic,Greece_And_Aegean,White,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
12,5,1,Aquileia,5,Pentelic,Greece_And_Aegean,White,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
13,6,1,Aquileia,6,Africano,Asia_Minor,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
14,6,1,Aquileia,6,Africano,Asia_Minor,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
15,6,1,Aquileia,6,Africano,Asia_Minor,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
16,6,1,Aquileia,6,Africano,Asia_Minor,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
17,6,1,Aquileia,6,Africano,Asia_Minor,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
18,6,1,Aquileia,6,Africano,Asia_Minor,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
19,6,1,Aquileia,6,Africano,Asia_Minor,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
20,7,1,Aquileia,7,Cipollino_Verde,Greece_And_Aegean,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
21,7,1,Aquileia,7,Cipollino_Verde,Greece_And_Aegean,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
22,7,1,Aquileia,7,Cipollino_Verde,Greece_And_Aegean,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
23,7,1,Aquileia,7,Cipollino_Verde,Greece_And_Aegean,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
24,7,1,Aquileia,7,Cipollino_Verde,Greece_And_Aegean,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
25,8,1,Aquileia,8,Pavonazzetto,Asia_Minor,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
26,8,1,Aquileia,8,Pavonazzetto,Asia_Minor,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
27,8,1,Aquileia,8,Pavonazzetto,Asia_Minor,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
28,8,1,Aquileia,8,Pavonazzetto,Asia_Minor,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
29,8,1,Aquileia,8,Pavonazzetto,Asia_Minor,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
30,9,1,Aquileia,9,Giallo_Antico,Egypt_and_North_Africa,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
31,9,1,Aquileia,9,Giallo_Antico,Egypt_and_North_Africa,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
32,9,1,Aquileia,9,Giallo_Antico,Egypt_and_North_Africa,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
33,10,1,Aquileia,10,Breccia_Corallina,Asia_Minor,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
34,10,1,Aquileia,10,Breccia_Corallina,Asia_Minor,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
35,10,1,Aquileia,10,Breccia_Corallina,Asia_Minor,Polychrome,1,Domus_dei_Putti_Danzanti,300,400,Decoration from a Late Antique Domus
